Match,Bowling_Team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,WD,NB
Namibia vs Netherlands,Netherlands,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
Namibia vs Netherlands,Netherlands,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
Namibia vs Netherlands,Netherlands,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
Namibia vs Netherlands,Netherlands,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
Namibia vs Netherlands,Namibia,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0
Namibia vs Netherlands,Namibia,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0
Namibia vs Netherlands,Namibia,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0
Namibia vs Netherlands,Namibia,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0
Namibia vs Netherlands,Namibia,JJ Smit,4,0,24,2,6.00,9,2,0,0,0
Namibia vs Netherlands,Namibia,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0
Namibia vs Netherlands,Namibia,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1
Sri Lanka vs United Arab Emirates,United Arab Emirates,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0
Sri Lanka vs United Arab Emirates,United Arab Emirates,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0
Sri Lanka vs United Arab Emirates,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0
Scotland vs Ireland,Ireland,Josh Little,4,0,30,1,7.50,10,2,1,1,0
Scotland vs Ireland,Ireland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0
Scotland vs Ireland,Ireland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1
Scotland vs Ireland,Ireland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0
Scotland vs Ireland,Ireland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0
Scotland vs Ireland,Ireland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0
Scotland vs Ireland,Ireland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0
Scotland vs Ireland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0
Scotland vs Ireland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0
Scotland vs Ireland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0
Scotland vs Ireland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0
Scotland vs Ireland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0
Scotland vs Ireland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0
West Indies vs Zimbabwe,Zimbabwe,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0
West Indies vs Zimbabwe,Zimbabwe,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0
West Indies vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1
West Indies vs Zimbabwe,Zimbabwe,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0
West Indies vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0
West Indies vs Zimbabwe,Zimbabwe,Sean Williams,3,0,17,1,5.66,7,1,0,0,1
West Indies vs Zimbabwe,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0
West Indies vs Zimbabwe,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1
West Indies vs Zimbabwe,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0
West Indies vs Zimbabwe,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0
West Indies vs Zimbabwe,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0
West Indies vs Zimbabwe,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1
Sri Lanka vs Netherlands,Netherlands,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0
Sri Lanka vs Netherlands,Netherlands,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0
Sri Lanka vs Netherlands,Netherlands,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0
Sri Lanka vs Netherlands,Netherlands,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0
Sri Lanka vs Netherlands,Netherlands,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0
Sri Lanka vs Netherlands,Netherlands,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0
Sri Lanka vs Netherlands,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0
Sri Lanka vs Netherlands,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0
Sri Lanka vs Netherlands,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0
Sri Lanka vs Netherlands,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1
Sri Lanka vs Netherlands,Sri Lanka,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0
Sri Lanka vs Netherlands,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0
Sri Lanka vs Netherlands,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0
United Arab Emirates vs Namibia,Namibia,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0
United Arab Emirates vs Namibia,Namibia,David Wiese,4,0,27,1,6.75,12,2,1,1,0
United Arab Emirates vs Namibia,Namibia,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0
United Arab Emirates vs Namibia,Namibia,JJ Smit,4,0,39,0,9.75,11,2,3,0,0
United Arab Emirates vs Namibia,Namibia,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0
United Arab Emirates vs Namibia,Namibia,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0
United Arab Emirates vs Namibia,United Arab Emirates,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0
United Arab Emirates vs Namibia,United Arab Emirates,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0
United Arab Emirates vs Namibia,United Arab Emirates,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2
United Arab Emirates vs Namibia,United Arab Emirates,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0
United Arab Emirates vs Namibia,United Arab Emirates,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0
United Arab Emirates vs Namibia,United Arab Emirates,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0
United Arab Emirates vs Namibia,United Arab Emirates,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0
West Indies vs Ireland,Ireland,Josh Little,4,0,31,0,7.75,8,1,2,1,0
West Indies vs Ireland,Ireland,Mark Adair,4,0,26,0,6.50,12,1,1,4,0
West Indies vs Ireland,Ireland,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0
West Indies vs Ireland,Ireland,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0
West Indies vs Ireland,Ireland,Simi Singh,2,0,11,1,5.50,4,1,0,0,0
West Indies vs Ireland,Ireland,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0
West Indies vs Ireland,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0
West Indies vs Ireland,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0
West Indies vs Ireland,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0
West Indies vs Ireland,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1
West Indies vs Ireland,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0
Scotland vs Zimbabwe,Zimbabwe,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0
Scotland vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1
Scotland vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2
Scotland vs Zimbabwe,Zimbabwe,Sean Williams,3,0,19,0,6.33,4,1,0,0,0
Scotland vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0
Scotland vs Zimbabwe,Zimbabwe,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0
Scotland vs Zimbabwe,Scotland,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0
Scotland vs Zimbabwe,Scotland,Josh Davey,3,0,16,2,5.33,8,1,0,0,1
Scotland vs Zimbabwe,Scotland,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1
Scotland vs Zimbabwe,Scotland,Mark Watt,4,0,19,1,4.75,9,1,0,0,0
Scotland vs Zimbabwe,Scotland,Michael Leask,4,0,36,1,9.00,4,2,1,0,0
Scotland vs Zimbabwe,Scotland,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0
New Zealand vs Australia,Australia,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0
New Zealand vs Australia,Australia,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0
New Zealand vs Australia,Australia,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0
New Zealand vs Australia,Australia,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0
New Zealand vs Australia,Australia,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0
New Zealand vs Australia,New Zealand,Trent Boult,4,0,24,2,6.00,13,2,1,1,0
New Zealand vs Australia,New Zealand,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0
New Zealand vs Australia,New Zealand,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0
New Zealand vs Australia,New Zealand,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0
New Zealand vs Australia,New Zealand,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0
Afghanistan vs England,England,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0
Afghanistan vs England,England,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0
Afghanistan vs England,England,Mark Wood,4,0,23,2,5.75,14,2,1,0,0
Afghanistan vs England,England,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0
Afghanistan vs England,England,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0
Afghanistan vs England,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0
Afghanistan vs England,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0
Afghanistan vs England,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0
Afghanistan vs England,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0
Afghanistan vs England,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0
Afghanistan vs England,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0
Ireland vs Sri Lanka,Sri Lanka,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0
Ireland vs Sri Lanka,Sri Lanka,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0
Ireland vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0
Ireland vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0
Ireland vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0
Ireland vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0
Ireland vs Sri Lanka,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0
Ireland vs Sri Lanka,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0
Ireland vs Sri Lanka,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0
Ireland vs Sri Lanka,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0
Ireland vs Sri Lanka,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0
Ireland vs Sri Lanka,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0
Pakistan vs India,India,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0
Pakistan vs India,India,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0
Pakistan vs India,India,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0
Pakistan vs India,India,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0
Pakistan vs India,India,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0
Pakistan vs India,India,Axar Patel,1,0,21,0,21.00,2,0,3,0,0
Pakistan vs India,Pakistan,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0
Pakistan vs India,Pakistan,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0
Pakistan vs India,Pakistan,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0
Pakistan vs India,Pakistan,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0
Pakistan vs India,Pakistan,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1
Bangladesh vs Netherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0
Bangladesh vs Netherlands,Netherlands,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0
Bangladesh vs Netherlands,Netherlands,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0
Bangladesh vs Netherlands,Netherlands,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0
Bangladesh vs Netherlands,Netherlands,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0
Bangladesh vs Netherlands,Netherlands,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0
Bangladesh vs Netherlands,Netherlands,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0
Bangladesh vs Netherlands,Bangladesh,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0
Bangladesh vs Netherlands,Bangladesh,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0
Bangladesh vs Netherlands,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0
Bangladesh vs Netherlands,Bangladesh,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0
Bangladesh vs Netherlands,Bangladesh,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0
Bangladesh vs Netherlands,Bangladesh,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1
Zimbabwe vs South Africa,South Africa,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0
Zimbabwe vs South Africa,South Africa,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0
Zimbabwe vs South Africa,South Africa,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0
Zimbabwe vs South Africa,South Africa,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0
Zimbabwe vs South Africa,South Africa,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0
Zimbabwe vs South Africa,Zimbabwe,Tendai Chatara,1,0,23,0,23.0,0,4,1,0,0
Zimbabwe vs South Africa,Zimbabwe,Richard Ngarava,1,0,17,0,17.0,2,4,0,0,1
Zimbabwe vs South Africa,Zimbabwe,Sikandar Raza,1,0,11,0,11.0,1,0,0,0,1
Sri Lanka vs Australia,Australia,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0
Sri Lanka vs Australia,Australia,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0
Sri Lanka vs Australia,Australia,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0
Sri Lanka vs Australia,Australia,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0
Sri Lanka vs Australia,Australia,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0
Sri Lanka vs Australia,Australia,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0
Sri Lanka vs Australia,Australia,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0
Sri Lanka vs Australia,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0
Sri Lanka vs Australia,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0
Sri Lanka vs Australia,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0
Sri Lanka vs Australia,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0
Sri Lanka vs Australia,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0
Sri Lanka vs Australia,Sri Lanka,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0
Sri Lanka vs Australia,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0
Ireland vs England,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0
Ireland vs England,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0
Ireland vs England,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0
Ireland vs England,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0
Ireland vs England,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0
Ireland vs England,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0
Ireland vs England,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0
Ireland vs England,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0
Ireland vs England,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0
Ireland vs England,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0
Ireland vs England,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0
Ireland vs England,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0
South Africa vs Bangladesh,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
South Africa vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
South Africa vs Bangladesh,Bangladesh,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
South Africa vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
South Africa vs Bangladesh,Bangladesh,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
South Africa vs Bangladesh,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
South Africa vs Bangladesh,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
South Africa vs Bangladesh,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0
South Africa vs Bangladesh,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0
South Africa vs Bangladesh,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
South Africa vs Bangladesh,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0
South Africa vs Bangladesh,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0
India vs Netherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
India vs Netherlands,Netherlands,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
India vs Netherlands,Netherlands,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
India vs Netherlands,Netherlands,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
India vs Netherlands,Netherlands,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
India vs Netherlands,Netherlands,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
India vs Netherlands,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0
India vs Netherlands,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
India vs Netherlands,India,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
India vs Netherlands,India,Axar Patel,4,0,18,2,4.50,11,0,0,0,0
India vs Netherlands,India,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0
India vs Netherlands,India,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
Zimbabwe vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
Zimbabwe vs Pakistan,Pakistan,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
Zimbabwe vs Pakistan,Pakistan,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
Zimbabwe vs Pakistan,Pakistan,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
Zimbabwe vs Pakistan,Pakistan,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
Zimbabwe vs Pakistan,Zimbabwe,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0
Zimbabwe vs Pakistan,Zimbabwe,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0
Zimbabwe vs Pakistan,Zimbabwe,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
Zimbabwe vs Pakistan,Zimbabwe,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
Zimbabwe vs Pakistan,Zimbabwe,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0
Zimbabwe vs Pakistan,Zimbabwe,Sean Williams,2,0,15,0,7.50,1,0,0,1,0
Zimbabwe vs Pakistan,Zimbabwe,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0
New Zealand vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
